phase,task_id,task_tier,status,time_taken_s,program_cached
GameGenie.Punt,1478ab18,easy,Synthesizer.Fail.MaxDepth,0.468,False
GameGenie.Punt,1c0d0a4b,easy,Synthesizer.Fail.MaxDepth,1.415,False
GameGenie.Punt,1caeab9d,easy,Synthesizer.Fail.MaxDepth,0.577,False
GameGenie.Punt,12eac192,easy,Synthesizer.Fail.MaxDepth,0.885,False
GameGenie.Punt,1b60fb0c,easy,Synthesizer.Fail.MaxDepth,0.181,False
GameGenie.Punt,17cae0c1,easy,Synthesizer.Fail.MaxDepth,0.928,False
GameGenie.Punt,00d62c1b,easy,Synthesizer.Fail.MaxDepth,0.329,False
GameGenie.Punt,05f2a901,easy,Synthesizer.Fail.MaxDepth,0.484,False
GameGenie.Punt,150deff5,easy,Synthesizer.Fail.MaxDepth,0.222,False
GameGenie.Punt,0d3d703e,easy,Synthesizer.Fail.MaxDepth,0.332,False
GameGenie.Standard,178fcbfb,easy,Synthesizer.Fail.MaxDepth,1.797,False
GameGenie.Standard,05269061,easy,Synthesizer.Fail.MaxDepth,0.989,False
GameGenie.Standard,137f0df0,easy,Synthesizer.Fail.MaxDepth,0.669,False
GameGenie.Standard,14b8e18c,easy,Synthesizer.Fail.MaxDepth,0.518,False
GameGenie.Standard,1f0c79e5,easy,Synthesizer.Fail.MaxDepth,0.677,False
GameGenie.Standard,1acc24af,easy,Synthesizer.Fail.MaxDepth,0.579,False
GameGenie.Standard,1e5d6875,medium,Synthesizer.Fail.MaxDepth,0.404,False
GameGenie.Standard,00dbd492,medium,Synthesizer.Fail.MaxDepth,0.437,False
GameGenie.Standard,182e5d0f,medium,Synthesizer.Fail.MaxDepth,0.663,False
GameGenie.Standard,12422b43,medium,Synthesizer.Fail.MaxDepth,0.624,False
GameGenie.Standard,1a244afd,medium,Synthesizer.Fail.MaxDepth,0.902,False
GameGenie.Standard,025d127b,medium,Synthesizer.Fail.MaxDepth,0.423,False
GameGenie.Standard,11dc524f,medium,Synthesizer.Fail.MaxDepth,0.667,False
GameGenie.Standard,11852cab,medium,Synthesizer.Fail.MaxDepth,0.884,False
GameGenie.Standard,1e0a9b12,medium,Synthesizer.Fail.MaxDepth,0.534,False
GameGenie.Standard,0ca9ddb6,medium,Synthesizer.Fail.MaxDepth,0.595,False
GameGenie.Standard,1bfc4729,medium,Synthesizer.Fail.MaxDepth,1.097,False
GameGenie.Standard,0e671a1a,medium,Synthesizer.Fail.MaxDepth,0.387,False
GameGenie.Standard,09629e4f,medium,Synthesizer.Fail.MaxDepth,2.332,False
GameGenie.Standard,08ed6ac7,medium,Synthesizer.Fail.MaxDepth,0.617,False
GameGenie.Standard,140c817e,medium,Synthesizer.Fail.MaxDepth,1.291,False
GameGenie.Standard,03560426,medium,Synthesizer.Fail.MaxDepth,0.879,False
